,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
385,Wet Hot American Summer,2001,2001,R,97 min,"Comedy,Romance",6.5,"58,533",$0.29M,42,Director:David Wain,"Stars:Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau"
386,Pride,2014,2014,R,119 min,"Biography,Comedy,Drama",7.8,"58,451",,79,Director:Matthew Warchus,"Stars:Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine"
387,The American President,1995,1995,U,114 min,"Comedy,Drama,Romance",6.8,"58,339",$65.00M,67,Director:Rob Reiner,"Stars:Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox"
388,Just My Luck,2006,2006,U,108 min,"Comedy,Fantasy,Romance",5.4,"58,247",$17.32M,29,Director:Donald Petrie,"Stars:Lindsay Lohan, Chris Pine, Samaire Armstrong, Bree Turner"
389,Neko no ongaeshi,2002,2002,G,75 min,"Animation,Adventure,Comedy",7.1,"58,169",,70,Director:Hiroyuki Morita,"Stars:Chizuru Ikewaki, Yoshihiko Hakamada, Aki Maeda, Takayuki Yamada"
390,Always Be My Maybe,2019,2019,13,101 min,"Comedy,Romance",6.8,"57,604",,64,Director:Nahnatchka Khan,"Stars:Ali Wong, Randall Park, James Saito, Michelle Buteau"
391,Pride and Prejudice and Zombies,2016,2016,PG-13,108 min,"Action,Comedy,Fantasy",5.8,"57,584",$10.91M,45,Director:Burr Steers,"Stars:Lily James, Sam Riley, Jack Huston, Bella Heathcote"
392,Pushing Daisies,2007,2009,,44 min,"Comedy,Drama,Fantasy",8.4,"57,572",,,,"Stars:Lee Pace, Anna Friel, Chi McBride, Jim Dale"
393,Steel Magnolias,1989,1989,U,117 min,"Comedy,Drama,Romance",7.3,"57,422",$83.76M,56,Director:Herbert Ross,"Stars:Shirley MacLaine, Olympia Dukakis, Sally Field, Julia Roberts"
394,Mr. Right,2015,2015,R,95 min,"Action,Comedy,Romance",6.3,"57,319",$0.03M,52,Director:Paco Cabezas,"Stars:Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone"
395,Empire Records,1995,1995,UA,90 min,"Comedy,Drama,Music",6.7,"57,252",$0.30M,30,Director:Allan Moyle,"Stars:Anthony LaPaglia, Debi Mazar, Maxwell Caulfield, Rory Cochrane"
