,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
484,Kokuriko-zaka kara,2011,2011,PG,91 min,"Animation,Comedy,Drama",7.4,"45,588",$1.00M,71,Director:Gorô Miyazaki,"Stars:Sarah Bolger, Chris Noth, Anton Yelchin, Christina Hendricks"
485,Adventures in Babysitting,1987,1987,U,102 min,"Adventure,Comedy,Crime",6.9,"45,555",$34.37M,45,Director:Chris Columbus,"Stars:Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp"
486,A Hologram for the King,2016,2016,R,98 min,"Comedy,Drama,Romance",6.1,"45,406",$4.20M,58,Director:Tom Tykwer,"Stars:Tom Hanks, Omar Elba, Sarita Choudhury, Ben Whishaw"
487,Somewhere,2010,2010,R,97 min,"Comedy,Drama,Romance",6.3,"45,342",$1.77M,67,Director:Sofia Coppola,"Stars:Stephen Dorff, Elle Fanning, Chris Pontius, Erin Wasson"
488,90210,2008,2013,,60 min,"Comedy,Drama,Romance",6.2,"45,005",,,,"Stars:Shenae Grimes-Beech, Tristan Mack Wilds, AnnaLynne McCord, Jessica Stroup"
489,"Honey, I Blew Up the Kid",1992,1992,U,89 min,"Adventure,Comedy,Family",4.9,"45,003",$58.66M,50,Director:Randal Kleiser,"Stars:Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar"
490,My Best Friend's Girl,2008,2008,R,101 min,"Comedy,Romance",5.8,"44,950",$19.22M,34,Director:Howard Deutch,"Stars:Kate Hudson, Dane Cook, Jason Biggs, Alec Baldwin"
491,Awkward.,2011,2016,,22 min,"Comedy,Drama,Romance",7.5,"44,818",,,,"Stars:Ashley Rickards, Beau Mirchoff, Jillian Rose Reed, Brett Davern"
492,Om Shanti Om,2007,2007,UA,162 min,"Action,Comedy,Drama",6.7,"44,747",$3.60M,,Director:Farah Khan,"Stars:Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher"
493,Sleeping with Other People,2015,2015,R,101 min,"Comedy,Drama,Romance",6.5,"44,707",$0.81M,64,Director:Leslye Headland,"Stars:Jason Sudeikis, Alison Brie, Jordan Carlos, Margarita Levieva"
494,The Nanny,1993,1999,,22 min,"Comedy,Family,Romance",7.0,"44,635",,,,"Stars:Fran Drescher, Charles Shaughnessy, Daniel Davis, Lauren Lane"
495,Laggies,2014,2014,R,99 min,"Comedy,Drama,Romance",6.4,"44,607",$0.44M,63,Director:Lynn Shelton,"Stars:Keira Knightley, Chloë Grace Moretz, Sam Rockwell, Mark Webber"
496,Ugly Betty,2006,2010,,60 min,"Comedy,Drama,Romance",6.7,"44,454",,,,"Stars:America Ferrera, Eric Mabius, Tony Plana, Ana Ortiz"
497,Arizona Dream,1993,1993,UA,142 min,"Comedy,Drama,Fantasy",7.2,"44,251",$0.11M,62,Director:Emir Kusturica,"Stars:Johnny Depp, Jerry Lewis, Faye Dunaway, Lili Taylor"
498,Cougar Town,2009,2015,,22 min,"Comedy,Romance",7.0,"44,083",,,,"Stars:Courteney Cox, Christa Miller, Busy Philipps, Dan Byrd"
499,Vicky Donor,2012,2012,UA,126 min,"Comedy,Romance",7.8,"43,889",$0.17M,,Director:Shoojit Sircar,"Stars:Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia"
